hm2_7i96.0.ssr.00.out.00 is output 0 (of 0..5)
<inputs 0..10 are just GPIO 0..10 at least until the INM module is supported

Component Pins:
Owner   Type  Dir         Value  Name
    13  float IN              0  axis.v.jog-scale
    13  bit   IN          FALSE  axis.v.jog-vel-mode
    13  bit   OUT         FALSE  axis.v.kb-jog-active
    13  float OUT             0  axis.v.pos-cmd
    13  float OUT             0  axis.v.teleop-pos-cmd
    13  bit   OUT         FALSE  axis.v.teleop-tp-enable
    13  float OUT             0  axis.v.teleop-vel-cmd
    13  float OUT             0  axis.v.teleop-vel-lim
    13  bit   OUT         FALSE  axis.v.wheel-jog-active
    13  float IN              1  axis.w.jog-accel-fraction
    13  s32   IN              0  axis.w.jog-counts
    13  bit   IN          FALSE  axis.w.jog-enable
    13  float IN              0  axis.w.jog-scale
    13  bit   IN          FALSE  axis.w.jog-vel-mode
    13  bit   OUT         FALSE  axis.w.kb-jog-active
    13  float OUT             0  axis.w.pos-cmd
    13  float OUT             0  axis.w.teleop-pos-cmd
    13  bit   OUT         FALSE  axis.w.teleop-tp-enable
    13  float OUT             0  axis.w.teleop-vel-cmd
    13  float OUT             0  axis.w.teleop-vel-lim
    13  bit   OUT         FALSE  axis.w.wheel-jog-active
    13  float IN              1  axis.x.jog-accel-fraction
    13  s32   IN              0  axis.x.jog-counts
    13  bit   IN          FALSE  axis.x.jog-enable
    13  float IN              0  axis.x.jog-scale
    13  bit   IN          FALSE  axis.x.jog-vel-mode
    13  bit   OUT         FALSE  axis.x.kb-jog-active
    13  float OUT             0  axis.x.pos-cmd
    13  float OUT             0  axis.x.teleop-pos-cmd
    13  bit   OUT         FALSE  axis.x.teleop-tp-enable
    13  float OUT             0  axis.x.teleop-vel-cmd
    13  float OUT             0  axis.x.teleop-vel-lim
    13  bit   OUT         FALSE  axis.x.wheel-jog-active
    13  float IN              1  axis.y.jog-accel-fraction
    13  s32   IN              0  axis.y.jog-counts
    13  bit   IN          FALSE  axis.y.jog-enable
    13  float IN              0  axis.y.jog-scale
    13  bit   IN          FALSE  axis.y.jog-vel-mode
    13  bit   OUT         FALSE  axis.y.kb-jog-active
    13  float OUT             0  axis.y.pos-cmd
    13  float OUT             0  axis.y.teleop-pos-cmd
    13  bit   OUT         FALSE  axis.y.teleop-tp-enable
    13  float OUT             0  axis.y.teleop-vel-cmd
    13  float OUT             0  axis.y.teleop-vel-lim
    13  bit   OUT         FALSE  axis.y.wheel-jog-active
    13  float IN              1  axis.z.jog-accel-fraction
    13  s32   IN              0  axis.z.jog-counts
    13  bit   IN          FALSE  axis.z.jog-enable
    13  float IN              0  axis.z.jog-scale
    13  bit   IN          FALSE  axis.z.jog-vel-mode
    13  bit   OUT         FALSE  axis.z.kb-jog-active
    13  float OUT             0  axis.z.pos-cmd
    13  float OUT             0  axis.z.teleop-pos-cmd
    13  bit   OUT         FALSE  axis.z.teleop-tp-enable
    13  float OUT             0  axis.z.teleop-vel-cmd
    13  float OUT             0  axis.z.teleop-vel-lim
    13  bit   OUT         FALSE  axis.z.wheel-jog-active
    34  bit   OUT         FALSE  axisui.jog.a
    34  bit   OUT         FALSE  axisui.jog.b
    34  bit   OUT         FALSE  axisui.jog.c
    34  float OUT             0  axisui.jog.increment
    34  bit   OUT         FALSE  axisui.jog.u
    34  bit   OUT         FALSE  axisui.jog.v
    34  bit   OUT         FALSE  axisui.jog.w
    34  bit   OUT          TRUE  axisui.jog.x
    34  bit   OUT         FALSE  axisui.jog.y
    34  bit   OUT         FALSE  axisui.jog.z
    34  bit   IN          FALSE  axisui.notifications-clear
    34  bit   IN          FALSE  axisui.notifications-clear-error
    34  bit   IN          FALSE  axisui.notifications-clear-info
    34  bit   IN          FALSE  axisui.resume-inhibit
    23  float IN            100  hm2_7i96.0.dpll.01.timer-us
    23  float IN            100  hm2_7i96.0.dpll.02.timer-us
    23  float IN            100  hm2_7i96.0.dpll.03.timer-us
    23  float IN            100  hm2_7i96.0.dpll.04.timer-us
    23  float IN              1  hm2_7i96.0.dpll.base-freq-khz
    23  u32   OUT    0x0000002A  hm2_7i96.0.dpll.ddsize
    23  float OUT      7.608253  hm2_7i96.0.dpll.phase-error-us
    23  u32   IN     0x00400000  hm2_7i96.0.dpll.plimit
    23  u32   OUT    0x00000018  hm2_7i96.0.dpll.prescale
    23  u32   IN     0x000007D0  hm2_7i96.0.dpll.time-const
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.000.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.000.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.000.out
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.001.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.001.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.001.out
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.002.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.002.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.002.out
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.003.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.003.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.003.out
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.004.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.004.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.004.out
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.005.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.005.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.005.out
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.006.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.006.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.006.out
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.007.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.007.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.007.out
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.008.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.008.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.008.out
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.009.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.009.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.009.out
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.010.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.010.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.010.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.011.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.011.in_not
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.012.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.012.in_not
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.013.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.013.in_not
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.014.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.014.in_not
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.015.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.015.in_not
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.016.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.016.in_not
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.017.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.017.in_not
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.018.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.018.in_not
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.019.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.019.in_not
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.020.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.020.in_not
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.021.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.021.in_not
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.022.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.022.in_not
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.023.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.023.in_not
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.024.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.024.in_not
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.025.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.025.in_not
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.026.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.026.in_not
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.027.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.027.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.027.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.028.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.028.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.028.out
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.029.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.029.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.029.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.030.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.030.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.030.out
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.031.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.031.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.031.out
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.032.in
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.032.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.032.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.033.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.033.in_not
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.034.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.034.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.034.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.035.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.035.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.035.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.036.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.036.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.036.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.037.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.037.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.037.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.038.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.038.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.038.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.039.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.039.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.039.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.040.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.040.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.040.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.041.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.041.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.041.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.042.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.042.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.042.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.043.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.043.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.043.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.044.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.044.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.044.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.045.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.045.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.045.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.046.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.046.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.046.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.047.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.047.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.047.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.048.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.048.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.048.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.049.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.049.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.049.out
    23  bit   OUT          TRUE  hm2_7i96.0.gpio.050.in
    23  bit   OUT         FALSE  hm2_7i96.0.gpio.050.in_not
    23  bit   IN          FALSE  hm2_7i96.0.gpio.050.out
    23  bit   IN          FALSE  hm2_7i96.0.led.CR01
    23  bit   IN          FALSE  hm2_7i96.0.led.CR02
    23  bit   IN          FALSE  hm2_7i96.0.led.CR03
    23  bit   IN          FALSE  hm2_7i96.0.led.CR04
    23  bit   OUT         FALSE  hm2_7i96.0.packet-error
    23  bit   OUT         FALSE  hm2_7i96.0.packet-error-exceeded
    23  s32   OUT             0  hm2_7i96.0.packet-error-level
    23  s32   OUT             0  hm2_7i96.0.read-request.time
    23  s32   OUT        915432  hm2_7i96.0.read.time
    23  bit   IN          FALSE  hm2_7i96.0.ssr.00.out-00
    23  bit   IN          FALSE  hm2_7i96.0.ssr.00.out-01
    23  bit   IN          FALSE  hm2_7i96.0.ssr.00.out-02
    23  bit   IN          FALSE  hm2_7i96.0.ssr.00.out-03
    23  bit   IN          FALSE  hm2_7i96.0.ssr.00.out-04
    23  bit   IN          FALSE  hm2_7i96.0.ssr.00.out-05
    23  u32   IN     0x000F4240  hm2_7i96.0.ssr.00.rate
    23  bit   IN           TRUE  hm2_7i96.0.stepgen.00.control-type
    23  s32   OUT             0  hm2_7i96.0.stepgen.00.counts
    23  float OUT             0  hm2_7i96.0.stepgen.00.dbg_err_at_match
    23  float OUT             0  hm2_7i96.0.stepgen.00.dbg_ff_vel
    23  float OUT             0  hm2_7i96.0.stepgen.00.dbg_pos_minus_prev_cmd
    23  float OUT             0  hm2_7i96.0.stepgen.00.dbg_s_to_match
    23  s32   OUT             0  hm2_7i96.0.stepgen.00.dbg_step_rate
    23  float OUT             0  hm2_7i96.0.stepgen.00.dbg_vel_error
    23  bit   IN          FALSE  hm2_7i96.0.stepgen.00.enable <== emcmot.0.enable
    23  float IN              0  hm2_7i96.0.stepgen.00.position-cmd
    23  float OUT             0  hm2_7i96.0.stepgen.00.position-fb ==> motor.0.pos-fb
    23  float IN              0  hm2_7i96.0.stepgen.00.velocity-cmd <== motor.0.command
    23  float OUT             0  hm2_7i96.0.stepgen.00.velocity-fb
    23  bit   IN           TRUE  hm2_7i96.0.stepgen.01.control-type
    23  s32   OUT             0  hm2_7i96.0.stepgen.01.counts
    23  float OUT             0  hm2_7i96.0.stepgen.01.dbg_err_at_match
    23  float OUT             0  hm2_7i96.0.stepgen.01.dbg_ff_vel
    23  float OUT             0  hm2_7i96.0.stepgen.01.dbg_pos_minus_prev_cmd
    23  float OUT             0  hm2_7i96.0.stepgen.01.dbg_s_to_match
    23  s32   OUT             0  hm2_7i96.0.stepgen.01.dbg_step_rate
    23  float OUT             0  hm2_7i96.0.stepgen.01.dbg_vel_error
    23  bit   IN          FALSE  hm2_7i96.0.stepgen.01.enable <== emcmot.1.enable
    23  float IN              0  hm2_7i96.0.stepgen.01.position-cmd
    23  float OUT             0  hm2_7i96.0.stepgen.01.position-fb ==> motor.1.pos-fb
    23  float IN              0  hm2_7i96.0.stepgen.01.velocity-cmd <== motor.1.command
    23  float OUT             0  hm2_7i96.0.stepgen.01.velocity-fb
    23  bit   IN           TRUE  hm2_7i96.0.stepgen.02.control-type
    23  s32   OUT             0  hm2_7i96.0.stepgen.02.counts
    23  float OUT             0  hm2_7i96.0.stepgen.02.dbg_err_at_match
    23  float OUT             0  hm2_7i96.0.stepgen.02.dbg_ff_vel
    23  float OUT             0  hm2_7i96.0.stepgen.02.dbg_pos_minus_prev_cmd
    23  float OUT             0  hm2_7i96.0.stepgen.02.dbg_s_to_match
    23  s32   OUT             0  hm2_7i96.0.stepgen.02.dbg_step_rate
    23  float OUT             0  hm2_7i96.0.stepgen.02.dbg_vel_error
    23  bit   IN          FALSE  hm2_7i96.0.stepgen.02.enable <== emcmot.2.enable
    23  float IN              0  hm2_7i96.0.stepgen.02.position-cmd
    23  float OUT             0  hm2_7i96.0.stepgen.02.position-fb ==> motor.2.pos-fb
    23  float IN              0  hm2_7i96.0.stepgen.02.velocity-cmd <== motor.2.command
    23  float OUT             0  hm2_7i96.0.stepgen.02.velocity-fb
    23  bit   IN          FALSE  hm2_7i96.0.stepgen.03.control-type
    23  s32   OUT             0  hm2_7i96.0.stepgen.03.counts
    23  float OUT             0  hm2_7i96.0.stepgen.03.dbg_err_at_match
    23  float OUT             0  hm2_7i96.0.stepgen.03.dbg_ff_vel
    23  float OUT             0  hm2_7i96.0.stepgen.03.dbg_pos_minus_prev_cmd
    23  float OUT             0  hm2_7i96.0.stepgen.03.dbg_s_to_match
    23  s32   OUT             0  hm2_7i96.0.stepgen.03.dbg_step_rate
    23  float OUT             0  hm2_7i96.0.stepgen.03.dbg_vel_error
    23  bit   IN          FALSE  hm2_7i96.0.stepgen.03.enable
    23  float IN              0  hm2_7i96.0.stepgen.03.position-cmd
    23  float OUT             0  hm2_7i96.0.stepgen.03.position-fb
    23  float IN              0  hm2_7i96.0.stepgen.03.velocity-cmd
    23  float OUT             0  hm2_7i96.0.stepgen.03.velocity-fb
    23  bit   IN          FALSE  hm2_7i96.0.stepgen.04.control-type
    23  s32   OUT             0  hm2_7i96.0.stepgen.04.counts
    23  float OUT             0  hm2_7i96.0.stepgen.04.dbg_err_at_match
    23  float OUT             0  hm2_7i96.0.stepgen.04.dbg_ff_vel
    23  float OUT             0  hm2_7i96.0.stepgen.04.dbg_pos_minus_prev_cmd
    23  float OUT             0  hm2_7i96.0.stepgen.04.dbg_s_to_match
    23  s32   OUT             0  hm2_7i96.0.stepgen.04.dbg_step_rate
    23  float OUT             0  hm2_7i96.0.stepgen.04.dbg_vel_error
    23  bit   IN          FALSE  hm2_7i96.0.stepgen.04.enable
    23  float IN              0  hm2_7i96.0.stepgen.04.position-cmd
    23  float OUT             0  hm2_7i96.0.stepgen.04.position-fb
    23  float IN              0  hm2_7i96.0.stepgen.04.velocity-cmd
    23  float OUT             0  hm2_7i96.0.stepgen.04.velocity-fb
    23  s32   IN             -1  hm2_7i96.0.stepgen.timer-number
    23  bit   I/O         FALSE  hm2_7i96.0.watchdog.has_bit
    23  s32   OUT         21868  hm2_7i96.0.write.time
    32  float IN              0  ini.0.backlash
    32  float IN         0.0002  ini.0.ferror
    32  float IN              0  ini.0.home
    32  float IN              0  ini.0.home_offset
    32  s32   IN            999  ini.0.home_sequence
    32  float IN              1  ini.0.max_acceleration
    32  float IN          1e+99  ini.0.max_limit
    32  float IN              1  ini.0.max_velocity
    32  float IN         0.0001  ini.0.min_ferror
    32  float IN         -1e+99  ini.0.min_limit
    32  float IN              0  ini.1.backlash
    32  float IN         0.0002  ini.1.ferror
    32  float IN              0  ini.1.home
    32  float IN              0  ini.1.home_offset
    32  s32   IN            999  ini.1.home_sequence
    32  float IN              1  ini.1.max_acceleration
    32  float IN          1e+99  ini.1.max_limit
    32  float IN              1  ini.1.max_velocity
    32  float IN         0.0001  ini.1.min_ferror
    32  float IN         -1e+99  ini.1.min_limit
    32  float IN              0  ini.2.backlash
    32  float IN         0.0002  ini.2.ferror
    32  float IN              0  ini.2.home
    32  float IN              0  ini.2.home_offset
    32  s32   IN            999  ini.2.home_sequence
    32  float IN              1  ini.2.max_acceleration
    32  float IN          1e+99  ini.2.max_limit
    32  float IN              1  ini.2.max_velocity
    32  float IN         0.0001  ini.2.min_ferror
    32  float IN         -1e+99  ini.2.min_limit
    32  float IN              0  ini.a.max_acceleration
    32  float IN              0  ini.a.max_limit
    32  float IN              0  ini.a.max_velocity
    32  float IN              0  ini.a.min_limit
    32  float IN              0  ini.b.max_acceleration
    32  float IN              0  ini.b.max_limit
    32  float IN              0  ini.b.max_velocity
    32  float IN              0  ini.b.min_limit
    32  float IN              0  ini.c.max_acceleration
    32  float IN              0  ini.c.max_limit
    32  float IN              0  ini.c.max_velocity
    32  float IN              0  ini.c.min_limit
    32  bit   IN           TRUE  ini.traj_arc_blend_enable
    32  bit   IN          FALSE  ini.traj_arc_blend_fallback_enable
    32  float IN              4  ini.traj_arc_blend_gap_cycles
    32  s32   IN             50  ini.traj_arc_blend_optimization_depth
    32  float IN            100  ini.traj_arc_blend_ramp_freq
    32  float IN            0.1  ini.traj_arc_blend_tangent_kink_ratio
    32  float IN          1e+99  ini.traj_default_acceleration
    32  float IN              1  ini.traj_default_velocity
    32  float IN          1e+99  ini.traj_max_acceleration
    32  float IN             30  ini.traj_max_velocity
    32  float IN              0  ini.u.max_acceleration
    32  float IN              0  ini.u.max_limit
    32  float IN              0  ini.u.max_velocity
    32  float IN              0  ini.u.min_limit
    32  float IN              0  ini.v.max_acceleration
    32  float IN              0  ini.v.max_limit
    32  float IN              0  ini.v.max_velocity
    32  float IN              0  ini.v.min_limit
    32  float IN              0  ini.w.max_acceleration
    32  float IN              0  ini.w.max_limit
    32  float IN              0  ini.w.max_velocity
    32  float IN              0  ini.w.min_limit
    32  float IN            200  ini.x.max_acceleration
    32  float IN             30  ini.x.max_limit
    32  float IN             20  ini.x.max_velocity
    32  float IN            -30  ini.x.min_limit
    32  float IN            200  ini.y.max_acceleration
    32  float IN             30  ini.y.max_limit
    32  float IN             20  ini.y.max_velocity
    32  float IN            -30  ini.y.min_limit
    32  float IN            200  ini.z.max_acceleration
    32  float IN             30  ini.z.max_limit
    32  float IN             20  ini.z.max_velocity
    32  float IN            -30  ini.z.min_limit
     4  bit   OUT         FALSE  iocontrol.0.coolant-flood
     4  bit   OUT         FALSE  iocontrol.0.coolant-mist
     4  bit   IN          FALSE  iocontrol.0.emc-enable-in <== estop-loop
     4  bit   OUT         FALSE  iocontrol.0.lube
     4  bit   IN          FALSE  iocontrol.0.lube_level
     4  bit   OUT         FALSE  iocontrol.0.tool-change ==> tool-change-loop
     4  bit   IN          FALSE  iocontrol.0.tool-changed <== tool-change-loop
     4  s32   OUT             0  iocontrol.0.tool-number
     4  s32   OUT             0  iocontrol.0.tool-prep-number
     4  s32   OUT             0  iocontrol.0.tool-prep-pocket
     4  bit   OUT         FALSE  iocontrol.0.tool-prepare ==> tool-prep-loop
     4  bit   IN          FALSE  iocontrol.0.tool-prepared <== tool-prep-loop
     4  bit   OUT         FALSE  iocontrol.0.user-enable-out ==> estop-loop
     4  bit   OUT         FALSE  iocontrol.0.user-request-enable
    13  float OUT             0  joint.0.acc-cmd
    13  bit   OUT          TRUE  joint.0.active
    13  bit   OUT         FALSE  joint.0.amp-enable-out ==> emcmot.0.enable
    13  bit   IN          FALSE  joint.0.amp-fault-in
    13  float OUT             0  joint.0.backlash-corr
    13  float OUT             0  joint.0.backlash-filt
    13  float OUT             0  joint.0.backlash-vel
    13  float OUT             0  joint.0.coarse-pos-cmd
    13  bit   OUT         FALSE  joint.0.error
    13  float OUT             0  joint.0.f-error
    13  float OUT        0.0001  joint.0.f-error-lim
    13  bit   OUT         FALSE  joint.0.f-errored
    13  bit   OUT         FALSE  joint.0.faulted
    13  float OUT             0  joint.0.free-pos-cmd
    13  bit   OUT         FALSE  joint.0.free-tp-enable
    13  float OUT             0  joint.0.free-vel-lim
    13  s32   OUT             0  joint.0.home-state
    13  bit   IN          FALSE  joint.0.home-sw-in
    13  bit   OUT         FALSE  joint.0.homed
    13  bit   OUT         FALSE  joint.0.homing
    13  bit   OUT          TRUE  joint.0.in-position
    13  bit   I/O         FALSE  joint.0.index-enable
    13  float IN              1  joint.0.jog-accel-fraction
    13  s32   IN              0  joint.0.jog-counts
    13  bit   IN          FALSE  joint.0.jog-enable
    13  float IN              0  joint.0.jog-scale
    13  bit   IN          FALSE  joint.0.jog-vel-mode
    13  bit   OUT         FALSE  joint.0.kb-jog-active
    13  float OUT             0  joint.0.motor-offset
    13  float OUT             0  joint.0.motor-pos-cmd ==> emcmot.0.pos-cmd
    13  float IN              0  joint.0.motor-pos-fb <== motor.0.pos-fb
